NEpisode,EpisodeLenght,EpisodeSteps,Accident,TotalNGoal,NGoalNorth,NGoalSouth,TotalNCarGenerated,NCarGeneratedNorth,NCarGeneratedSouth,TotalNCarBeenWaiting,NCarBeenWaitingNorth,NCarBeenWaitingSouth,TotalAVGTimeToPass,AVGTimeToPassNorth,AVGTimeToPassSouth,TotalAVGTimeWaited,AVGTimeWaitedNorth,AVGTimeWaitedSouth
51,38.67,1934,False,10,5,5,10,5,5,7,4,3,10.67,10.27,11.07,4.22,5.39,3.04
52,37.33,1866,False,10,5,5,10,5,5,4,2,2,10.83,9.67,12,4.04,3.26,4.82
53,29.67,1484,True,6,3,3,10,5,5,4,2,2,8.44,8.33,8.56,0.83,1.09,0.56
54,37.67,1883,False,10,5,5,10,5,5,5,2,3,8.73,8.53,8.93,2.28,2.55,2
55,35.67,1783,False,10,5,5,10,5,5,6,3,3,8.77,8.93,8.6,2.36,2.88,1.85
56,34.67,1734,False,10,5,5,10,5,5,4,2,2,9.27,8.87,9.67,2.78,3.98,1.58
57,36.67,1833,False,10,5,5,10,5,5,5,2,3,9.73,9.4,10.07,2.72,2.33,3.11
58,38,1900,False,10,5,5,10,5,5,6,3,3,10.73,10.33,11.13,3.77,3.19,4.35
59,33.33,1667,False,10,5,5,10,5,5,7,3,4,8.53,9.07,8,1.44,2.28,0.6
60,36.33,1816,False,10,5,5,10,5,5,6,3,3,10.47,10.13,10.8,3.39,3.74,3.04
61,39.67,1984,False,10,5,5,10,5,5,4,2,2,9.63,9.13,10.13,2.96,3.31,2.6
62,32.67,1633,False,10,5,5,10,5,5,5,3,2,10.23,10.27,10.2,2.96,3.21,2.71
63,40.33,2017,False,10,5,5,10,5,5,4,2,2,8.97,7.87,10.07,3.1,2.62,3.58
64,36.67,1833,False,10,5,5,10,5,5,5,2,3,10.57,9,12.13,4.15,2.23,6.07
65,12.67,633,True,1,1,0,4,2,2,2,0,2,11.33,11.33,NaN,0,0,NaN
66,30,1500,False,10,5,5,10,5,5,6,2,4,10.17,8.2,12.13,3.36,0.86,5.85
67,21.67,1084,True,5,2,3,9,4,5,5,3,2,11.07,11.17,11,4.12,3.32,4.65
68,40.67,2033,False,10,5,5,10,5,5,6,2,4,8.67,7.6,9.73,2.42,2.61,2.23
